keywords,latitude,longitude,name,openingHoursFriday,openingHoursMonday,openingHoursSaturday,openingHoursSunday,openingHoursThursday,openingHoursTuesday,openingHoursWednesday
"
         wildbeancafe","
         -38.626258","
         176.089046","
         BP Connect Wairakei","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -38.687923","
         176.072347","
         BP Connect Taupo","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -39.679005","
         175.800188","
         BP Connect Taihape","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -39.425423","
         176.869664","
         BP Connect Bay View","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -39.630526","
         176.830779","
         BP Connect Stortford Lodge","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -40.209933","
         176.094933","
         BP Connect Dannevirke",,,,,,,
"
         wildbeancafe","
         -40.224857","
         175.566713","
         BP Connect Feilding","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -40.346884","
         175.603576","
         BP Connect Palmerston","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -40.368272","
         175.620006","
         BP Connect Blue Moon","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -40.760822","
         175.157585","
         BP Connect Otaki","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -40.915704","
         175.006741","
         BP Connect Paraparaumu","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -41.096034","
         174.869058","
         BP Mana",,,,,,,
"
         wildbeancafe","
         -41.175731","
         174.825561","
         BP Connect Tawa","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -41.11373","
         174.882192","
         BP Connect Whitby",,,,,,,
"
         wildbeancafe","
         -41.137995","
         174.841359","
         BP Connect Porirua","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -41.225701","
         174.807469","
         BP Connect Johnsonville","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -41.123481","
         175.075707","
         BP Connect Upper Hutt","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -41.204609","
         174.911501","
         BP Connect Melling","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -41.262649","
         174.946173","
         BP Connect Wainuiomata","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -41.222839","
         174.911993","
         BP Connect Waiwhetu","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -41.290919","
         174.780141","
         BP Connect Roadmaster","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -41.303051","
         174.7796","
         BP Connect Adelaide Road","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -43.531388","
         172.576113","
         BP Connect Bush Inn","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -43.52553","
         172.673362","
         BP Connect Dallington",,,,,,,
"
         wildbeancafe","
         -43.513127","
         172.63767","
         BP Connect Edgeware","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -43.518717","
         172.589903","
         BP Connect Fendalton","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -43.495398","
         172.710391","
         BP Connect Qe Ii","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -43.590589","
         172.380053","
         BP Connect Rolleston","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -43.564435","
         172.608337","
         BP Connect Hoon Hay","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -45.015255","
         168.731571","
         BP Connect Queenstown","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -45.897387","
         170.510005","
         BP Connect Bays Junction",,,,,,,
"
         wildbeancafe","
         -45.884695","
         170.501513","
         BP Connect Southern","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -44.374237","
         171.242125","
         BP Connect Timaru","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -37.82204","
         175.286586","
         BP Connect Glenview","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -36.888611","
         174.831503","
         BP Connect Lunn Ave","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -40.177016","
         175.385587","
         BP Connect Bulls","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -36.902308","
         174.896286","
         BP Connect Pakuranga","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         Wildbeancafe","
         -36.40826715","
         174.65899813","
         BP Connect Warkworth","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -36.966519","
         174.916002","
         BP Connect Ormiston","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -37.738683","
         176.106463","
         BP Connect Tauriko","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         Wildbeancafe","
         -40.90742432","
         174.99914073","
         BP Connect Kapiti","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -36.8877914","
         174.7985391","
         BP Connect Greenlane","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -39.930067","
         175.032053","
         BP Connect Wanganui","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -44.097083","
         170.827863","
         BP 2Go Fairlie",,,,,,,
,"
         -45.878867","
         170.350274","
         BP 2Go Alco Motors",,,,,,,
,"
         -43.897147","
         171.75792","
         BP 2Go Ashburton",,,,,,,
,"
         -45.102133","
         170.954173","
         BP 2Go Autoworld",,,,,,,
,"
         -36.953714","
         174.790844","
         BP Bader Drive",,,,,,,
,"
         -46.239317","
         169.736718","
         BP 2Go Balclutha",,,,,,,
,"
         -41.319708","
         174.77557","
         BP 2Go Berhampore",,,,,,,
"
         Wildbeancafe","
         -41.513863","
         173.959003","
         BP 2Go Blenheim","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -39.492547","
         176.909923","
         BP 2Go Carlyle Street",,,,,,,
"
         wildbeancafe","
         -36.990513","
         174.867732","
         BP Connect Cavendish",,,,,,,
,"
         -39.583878","
         176.914665","
         BP 2Go Clive",,,,,,,
,"
         -45.036153","
         169.194013","
         BP 2Go Cromwell",,,,,,,
,"
         -37.665468","
         176.141898","
         BP 2Go Delta",,,,,,,
,"
         -45.859856","
         170.514784","
         BP 2Go Dunedin North",,,,,,,
,"
         -36.899337","
         174.813004","
         BP 2Go Ellerslie",,,,,,,
,"
         -39.432606","
         174.299767","
         BP 2Go Eltham",,,,,,,
,"
         -36.897135","
         174.77357","
         BP 2Go Epsom",,,,,,,
,"
         -45.886724","
         170.49613","
         BP 2Go Everedi",,,,,,,
,"
         -39.624958","
         176.787309","
         BP 2Go Flaxmere",,,,,,,
,"
         -38.65078","
         178.020539","
         BP 2Go Foster & Tyler",,,,,,,
,"
         -37.802982","
         174.873563","
         BP 2Go Raglan",,,,,,,
,"
         -46.097258","
         168.954289","
         BP 2Go Gore",,,,,,,
,"
         -39.525852","
         176.862241","
         BP 2Go Greenmeadows",,,,,,,
,"
         -42.455333","
         171.207817","
         BP 2Go Greymouth","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -43.571876","
         172.570928","
         BP 2Go Halswell","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         Wildbeancafe","
         -41.266746","
         173.275869","
         BP 2Go Haven Road","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -44.389366","
         171.21816","
         BP 2Go Highfield Service Station",,,,,,,
,"
         -46.413273","
         168.357354","
         BP 2Go Highway","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -36.92615","
         174.749651","
         BP 2Go Hillside","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         wildbeancafe","
         -37.73021","
         175.273722","
         BP Connect Horsham Downs","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -36.845907","
         174.742201","
         BP 2Go Jervois Road",,,,,,,
,"
         -42.392241","
         173.67952","
         BP 2Go Kaikoura",,,,,,,
,"
         -38.671063","
         178.036538","
         BP 2Go Kaiti",,,,,,,
,"
         -36.778478","
         174.565509","
         BP 2Go Kumeu",,,,,,,
,"
         -36.899001","
         174.756737","
         BP 2Go Landscape",,,,,,,
,"
         -37.907216","
         175.474734","
         BP 2Go Leamington",,,,,,,
,"
         -43.541996","
         172.687535","
         BP 2Go Linwood",,,,,,,
,"
         -40.351563","
         175.622318","
         BP 2Go Main Street",,,,,,,
,"
         -43.497699","
         172.642415","
         BP 2Go Mairehau",,,,,,,
,"
         -37.720789","
         176.175217","
         BP 2Go Maungatapu",,,,,,,
,"
         -36.876603","
         174.825345","
         BP 2Go Meadowbank",,,,,,,
,"
         -39.666139","
         176.877811","
         BP 2Go Millward Motors",,,,,,,
,"
         -45.881369","
         170.480002","
         BP 2Go Mornington",,,,,,,
,"
         -37.655824","
         175.532178","
         BP 2Go Morrinsville",,,,,,,
,"
         -39.063146","
         174.044406","
         BP 2Go Moturoa",,,,,,,
"
         wildbeancafe","
         -36.914768","
         174.804336","
         BP 2Go Mt Smart","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -36.90515","
         174.686813","
         BP 2Go New Lynn","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -41.229771","
         174.817352","
         BP 2Go Newlands",,,,,,,
,"
         -35.096423","
         173.257751","
         BP 2Go Ninety Mile Motors",,,,,,,
,"
         -40.216952","
         175.583621","
         BP 2Go North End",,,,,,,
,"
         -36.784139","
         175.010943","
         BP 2Go Oneroa",,,,,,,
,"
         -40.459344","
         175.834878","
         BP Pahiatua",,,,,,,
,"
         -37.953767","
         176.990729","
         BP 2Go Whakatane",,,,,,,
,"
         -40.363043","
         175.595217","
         BP 2Go Pioneer",,,,,,,
,"
         -38.04931","
         175.7807","
         BP 2Go Putaruru","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -39.643849","
         176.840406","
         BP 2Go Racecourse",,,,,,,
,"
         -43.561457","
         172.737938","
         BP 2Go Redcliffs","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
"
         Wildbeancafe","
         -41.34243","
         173.1878199","
         BP 2Go Richmond","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -38.988776","
         175.810788","
         BP 2Go Ridley Motors",,,,,,,
,"
         -37.694834","
         176.139541","
         BP 2Go Summit",,,,,,,
,"
         -38.883033","
         175.256962","
         BP 2Go Taumarunui","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -39.937942","
         175.052716","
         BP 2Go Taupo Quay",,,,,,,
,"
         -38.338101","
         175.166956","
         BP 2Go Te Kuiti Energy Centre",,,,,,,
,"
         -37.785673","
         176.329917","
         BP 2Go Te Puke",,,,,,,
,"
         -36.911521","
         174.871704","
         BP 2Go Town Centre",,,,,,,
"
         wildbeancafe","
         -37.393364","
         175.842261","
         BP Connect Waihi","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -36.901516","
         174.654961","
         BP 2Go Waikumete",,,,,,,
,"
         -39.002537","
         174.234361","
         BP 2Go Waitara",,,,,,,
,"
         -44.694154","
         169.138105","
         BP 2Go Wanaka",,,,,,,
"
         wildbeancafe","
         -40.629592","
         175.278716","
         BP Connect Levin","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -35.546905","
         174.277637","
         BP 2Go Whakapara",,,,,,,
,"
         -36.945517","
         174.964767","
         BP 2Go Whitford",,,,,,,
,"
         -43.499616","
         172.609831","
         BP 2Go Papanui",,,,,,,
,"
         -36.760682","
         175.497381","
         Coromandel Service Station",,,,,,,
,"
         -35.940143","
         173.871628","
         BP 2Go Dargaville",,,,,,,
,"
         -46.426479","
         168.361711","
         BP Elles Road",,,,,,,
,"
         -41.232136","
         174.837467","
         Hutt Road Truckstop","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -41.28491","
         174.736341","
         BP 2Go Karori",,,,,,,
,"
         -37.552481","
         175.918005","
         BP 2Go Katikati",,,,,,,
,"
         -35.230938","
         173.9463","
         BP 2Go Kerikeri",,,,,,,
"
         wildbeancafe","
         -43.474819","
         172.659898","
         BP Connect Marshlands","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -35.387934","
         174.012981","
         BP 2Go Moerewa",,,,,,,
,"
         -36.914111","
         174.754304","
         BP Mt Roskill",,,,,,,
,"
         -46.387238","
         168.347","
         BP North Road",,,,,,,
,"
         -39.753569","
         174.471442","
         BP 2Go Patea",,,,,,,
,"
         -37.8223","
         176.489384","
         BP 2Go Pongakawa",,,,,,,
"
         wildbeancafe","
         -39.059562","
         174.072277","
         BP 2Go Powderham","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -43.543069","
         172.546158","
         BP 2Go Sockburn",,,,,,,
,"
         -41.178924","
         174.961198","
         BP 2Go Taita",,,,,,,
,"
         -40.859987","
         172.806121","
         BP Takaka",,,,,,,
,"
         -39.944725","
         176.587043","
         BP 2Go Waipawa","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59","
         00:00-23:59"
,"
         -39.920306","
         175.054902","
         BP 2Go Wanganui East",,,,,,,
,"
         -43.515871","
         172.572163","
         BP 2Go Westburn",,,,,,,
,"
         -41.751324","
         171.598019","
         BP 2Go Westport",,,,,,,
